instrumentation_library,service_name,traceId,spanId,operation,kind,duration,span_status,http.status_code,parent.service_name,parent.operation,parent.kind
io.opentelemetry.spring-data-1.8,team-service,c7e572a3432ac96243d1261f5e83fc83,7ce64c203889490e,TeamRepository.save,1,1968854,1,,,,
io.opentelemetry.rabbitmq-2.7,team-service,c7e572a3432ac96243d1261f5e83fc83,f929e2280752c387,meetingteam-exchange publish,4,252497,1,,,,
io.opentelemetry.tomcat-10.0,team-service,c7e572a3432ac96243d1261f5e83fc83,847ce2a0a331f540,PATCH /team-service/team,2,18351453,1,200,,,
io.opentelemetry.tomcat-10.0,chat-service,77fb174614e7b90ee57d8ba47277e257,e3638d2ddfaa8b01,GET /chat-service/message/text_channel/{channelId},2,6000080,2,500,,,
io.opentelemetry.tomcat-10.0,chat-service,f2637c9e47a5a8ea6fb8121add2dbfc8,89916bc902838aaf,POST /chat-service/message/text_message,2,5486675,2,500,,,
io.opentelemetry.tomcat-10.0,chat-service,e10fc7c5c800238d0506323bc79c73e9,4d76fc0191ca1a06,GET /chat-service/message/text_channel/{channelId},2,7243192,2,500,,,
io.opentelemetry.tomcat-10.0,websocket-service,410c77ab90664961032a17c3f669d18c,c410f69f32c3c105,GET /websocket-service/wss/**,2,3413312,1,200,,,
io.opentelemetry.tomcat-10.0,websocket-service,0ec1b71283a423d54df964f1c1f637dd,5464801ef8b8aa22,GET /websocket-service/wss/**,2,3771106,1,101,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,ba31dfde688c42251df48051c836523a,d4969586973f0f4d,queue.unbind,3,2015916,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,7fd44d0e410aeb42445c17724df3571b,66912d0c11aacb58,queue.bind,3,3078661,1,,,,
io.opentelemetry.tomcat-10.0,websocket-service,22ed1cd1d7de8385ac117cb41951fee7,19ef01de985a558c,GET /websocket-service/wss/**,2,3225153,1,101,,,
io.opentelemetry.mongo-3.1,chat-service,a8b37e4f561fc27ccb3ac695eb31c823,459584c3a2bda2a1,createIndexes chatdb.Message,3,70588992,1,,,,
io.opentelemetry.http-url-connection,chat-service,b2bc8e7f529cb3c69af418732c7e43b5,1c50e3de02d34416,GET,3,899984038,1,200,,,
io.opentelemetry.http-url-connection,chat-service,b2bc8e7f529cb3c69af418732c7e43b5,32d0484bf63c3620,GET,3,321883731,1,200,,,
io.opentelemetry.tomcat-10.0,chat-service,b2bc8e7f529cb3c69af418732c7e43b5,9e366c562bae92f6,POST /chat-service/message/text_message,2,6824385165,2,500,,,
io.opentelemetry.java-http-client,chat-service,b2bc8e7f529cb3c69af418732c7e43b5,ec704cb1c73f5747,GET,3,5072458892,2,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.tomcat-10.0,chat-service,bcac2351011743d9d5f766d881fe8847,4c4144100ebe5d13,POST /chat-service/message/text_message,2,22462461,2,500,,,
io.opentelemetry.java-http-client,chat-service,bcac2351011743d9d5f766d881fe8847,2ea99fc4ad6b663e,GET,3,12075958,2,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.tomcat-10.0,chat-service,1a8a33bfb4da764ac2ec404b7ad6fdfb,3a9da5f7bb7593f2,POST /chat-service/message/text_message,2,8935218,2,500,,,
io.opentelemetry.java-http-client,chat-service,1a8a33bfb4da764ac2ec404b7ad6fdfb,699af7002520acf5,GET,3,2664361,2,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.tomcat-10.0,chat-service,714a695bdf7c40363dfaa13611f3de59,82089cd21b8a855f,POST /chat-service/message/text_message,2,7908754,2,500,,,
io.opentelemetry.java-http-client,chat-service,714a695bdf7c40363dfaa13611f3de59,0bfa26d23f5a07a0,GET,3,2393375,2,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.tomcat-10.0,chat-service,bfd9de732d71e7d1e275ce80c443cbc1,213c00db9abb28b5,POST /chat-service/message/text_message,2,8464431,2,500,,,
io.opentelemetry.java-http-client,chat-service,bfd9de732d71e7d1e275ce80c443cbc1,136498e8e1440697,GET,3,2383288,2,,chat-service,POST /chat-service/message/text_message,2.0
